2023-12-28 16:56:04,542 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\framework]
2023-12-28 16:56:04,739 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\themes]
2023-12-28 16:56:04,800 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\applications]
2023-12-28 16:56:04,912 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\plugins]
2023-12-28 16:56:05,111 |main                 |ComponentContainer            |I| All components loaded
2023-12-28 16:56:05,112 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-28 16:56:05,117 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-28 16:56:05,124 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-28 16:56:05,124 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-28 16:56:05,125 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-28 16:56:05,125 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-28 16:56:05,127 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-12-28 16:56:05,127 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-12-28 16:56:05,383 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-12-28 16:56:05,388 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-12-28 16:56:05,393 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-12-28 16:56:05,393 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-12-28 16:56:05,393 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-12-28 16:56:05,403 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-12-28 16:56:05,404 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-12-28 16:56:05,404 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-12-28 16:56:05,405 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-12-28 16:56:05,405 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-12-28 16:56:05,405 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
