2023-12-29 10:10:11,239 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\framework]
2023-12-29 10:10:11,520 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\themes]
2023-12-29 10:10:11,568 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\applications]
2023-12-29 10:10:11,679 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\onlineexamportal\ofbiz-framework\plugins]
2023-12-29 10:10:11,909 |main                 |ComponentContainer            |I| All components loaded
2023-12-29 10:10:11,909 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-29 10:10:11,910 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-29 10:10:11,927 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-29 10:10:11,927 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-29 10:10:11,936 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-29 10:10:11,936 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-29 10:10:11,951 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-12-29 10:10:11,951 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-12-29 10:10:12,261 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-12-29 10:10:12,264 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-12-29 10:10:12,270 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-12-29 10:10:12,270 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-12-29 10:10:12,270 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-12-29 10:10:12,282 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-12-29 10:10:12,282 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-12-29 10:10:12,282 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-12-29 10:10:12,283 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-12-29 10:10:12,283 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-12-29 10:10:12,283 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-12-29 10:10:12,284 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-29 10:10:12,284 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-12-29 10:10:12,284 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-12-29 10:10:12,285 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-12-29 10:10:12,287 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-12-29 10:10:12,287 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-12-29 10:10:12,288 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-12-29 10:10:12,288 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-12-29 10:10:12,288 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-29 10:10:12,288 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
